Number,PlotNo,Subplot,Location,Date,Layer,corrected,CFs,Taxon,Euro+Med Taxon,0.01,0.03,0.10,0.32,1.00,3.16,phen,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,height,
2385,BC12,NW,Sustainibility Dep.,28/03/2025,,,,Aegopodium podagraria,Aegopodium podagraria,,,,,0.01,0.5,,,,,,,,3,
2430,BC12,NW,Sustainibility Dep.,31/05/2025,,,,Aegopodium podagraria,Aegopodium podagraria,0,15,30,15,10,18,,,,,,,,"15, 13, 18",
2483,BC12,NW,Sustainibility Dep.,25/07/2025,,,,Aegopodium podagraria,Aegopodium podagraria,,,,,4,20,,,,,,,,"12, 15, 14",
2529,BC12,NW,Sustainibility Dep.,03/10/2025,,,,Aegopodium podagraria,Aegopodium podagraria,,,,,5,20,,,,,,,,"9, 7, 5",
727,BC04,EXT,Hahn-Meitner-Bau,24/07/2025,,X,Potentilla verna??,Agrimonia,Agrimonia,,,,,0,0.01,,,,,,,,6,
7,BC01,NW,August-von-Wassermann Platz,29/03/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,25,25,,,,,,,,,
22,BC01,SE,August-von-Wassermann Platz,29/03/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,15,,,,,,,,,"4, 4, 3",
44,BC01,NW,August-von-Wassermann Platz,22/05/2025,,,,Agrostis capillaris,Agrostis capillaris,30,20,20,20,20,17,fl,,,,1,,,"10, 8, 9",
61,BC01,SE,August-von-Wassermann Platz,22/05/2025,,,,Agrostis capillaris,Agrostis capillaris,20,30,25,30,17,,,,,,,,,,
85,BC01,NW,August-von-Wassermann Platz,24/07/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,30,,,,,,,,,"23, 11, 15",
100,BC01,SE,August-von-Wassermann Platz,24/07/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,30,25,fl/fr,,,,1,1,,,
120,BC01,NW,August-von-Wassermann Platz,02/10/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,30,23,,,,,,,,,
140,BC01,SE,August-von-Wassermann Platz,02/10/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,25,,,,,,,,,"12, 10, 9",
401,BC03,SE,Hahn-Meitner-Fläche,29/03/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,3,5,,,,,,,,"10, 6, 11",
436,BC03,NW,Hahn-Meitner-Fläche,30/05/2025,,,,Agrostis capillaris,Agrostis capillaris,0,0,3,6,7,,,,,,,,,,
466,BC03,SE,Hahn-Meitner-Fläche,30/05/2025,,,,Agrostis capillaris,Agrostis capillaris,0,10,10,15,20,5,fl,,,,1,,,"38, 32, 31",
492,BC03,NW,Hahn-Meitner-Fläche,24/07/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,10,10,,,,,,,,,
516,BC03,SE,Hahn-Meitner-Fläche,24/07/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,20,,fr,,,,,1,,"25, 31, 18",
543,BC03,NW,Hahn-Meitner-Fläche,02/10/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,15,15,,,,,,,,,
568,BC03,SE,Hahn-Meitner-Fläche,02/10/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,15,,,,,,,,,"14, 10, 18",
621,BC04,SE,Hahn-Meitner-Bau,29/03/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,0.1,0.5,,,,,,,,4,
690,BC04,SE,Hahn-Meitner-Bau,24/05/2025,,,,Agrostis capillaris,Agrostis capillaris,0,0,2,3,2,X,fl,,,,1,,,X,
819,BC04,SE,Hahn-Meitner-Bau,02/10/2025,,,,Agrostis capillaris,Agrostis capillaris,,,,,3,,,,,,,,,"13, 16, 10",
